,id,topic,keywords
0,0,None,"['Graph Matching', 'Answer Set Programming', 'Probabilistic algorithms', 'Keyword search', 'Distributed processing', 'Graph partitioning', 'Np hard', 'Binary trees', 'Complex Network', 'Distributed algorithm', 'Hybrid algorithm', 'Message Passing', 'Sequences', 'Social Network Analysis', 'Computational Complexity', 'Search problem', 'Data Structures', 'Backtracking', 'Distributed Computing', 'Parallel algorithms', 'Finite State Machines', 'Approximation algorithms', 'Parallel Computing', 'Approximation algorithm', 'Tree graph', 'Greedy algorithms', 'Computer Go', 'Heuristics', 'Scheduling algorithm', 'Analysis of algorithms', 'Combinatorial Game', 'Approximate computing', 'Decision Trees', 'Systolic array', 'Centrality', 'Connected dominating set', 'Np complete', 'Greedy Algorithm', 'Graph visualization', 'Graph Theory', 'Network visualization', 'Resource Allocation', 'Graph drawing', 'Queueing Theory', 'Communication complexity', 'Game tree search', 'Formal Methods', 'Circuit complexity', 'Task scheduling', 'Computational Geometry', 'Concurrent computing', 'Satisfiability', 'Formal verification', 'Constraint programming', 'Algorithm', 'Heuristic algorithm', 'Scheduling algorithms', 'Graph algorithms', 'Online algorithm', 'Dynamic Programming', 'Memory architecture', 'Time complexity', 'Sparse matrices', 'Complex Networks', 'Memory hierarchy', 'Discrete Event Simulation', 'Random graphs', 'Graph layout', 'Packet scheduling', 'Algorithms', 'Pattern Matching', 'Critical Path Analysis', 'Table lookup', 'Boolean functions', 'Adaptive algorithm', 'Shared Memory', 'Binary Decision Diagrams', 'Shortest path', 'Temporal Logic', 'Model checking', 'Sorting', 'Np completeness', 'Distributed system', 'Distributed Systems', 'Randomized algorithm', 'Logic Programming', 'Sparsity', 'Processor scheduling', 'Combinatorial Optimization', 'Bipartite Graph', 'Distributed algorithms', 'Job Shop Scheduling', 'Tree data structure', 'Parallel Programming', 'Petri Nets', 'Checkpointing', 'Parallel architecture', 'Distributed applications']"
1,1,None,"['Biomedical text mining', 'Bioinformatics Databases', 'Phylogenetic trees', 'Protein structure prediction', 'Microarrays', 'Adaptation', 'Biomarkers', 'Gene Ontology', 'Phylogenetic Tree', 'Sequence alignment', 'Metagenomics', 'Multiple Sequence Alignment', 'Protein Engineering', 'Computational Biology', 'Phylogenetics', 'Protein function prediction', 'Bioinformatics', 'Drug Discovery', 'Next Generation Sequencing', 'SNPs', 'Microarray', 'Genomics', 'BLAST', 'Systems Biology', 'Supertree', 'Comparative Genomics', 'Microarray analysis', 'Robinson foulds distance', 'Gene selection', 'GeneTree', 'Phylogeny', 'Metabolic networks', 'Phylogenetic network', 'Evolution', 'Incomplete lineage sorting', 'Proteomics', 'Structural alignment', 'parsimony', 'Single Nucleotide Polymorphism', 'Circuit topology', 'Systematics', 'Biological network', 'Virtual screening', 'Sequence analysis', 'Structural Bioinformatics', 'Reticulate evolution', 'Drug Design']"
2,2,None,"['Geographic Information Systems', 'Anomaly detection', 'Geographic Visualization', 'Spatial database', 'Learning analytics', 'Recommender Systems', 'GIS', 'Computer languages', 'Speech Recognition', 'Feature extraction', 'Computer Supported Cooperative Work', 'Social computing', 'Text mining', 'Image Processing', 'Association rules', 'Scale space', 'User Centered Design', 'Big Data', 'Interactive Visualization', 'Urban Computing', 'Semantic Web', 'Sentiment Analysis', 'Social Data Analysis', 'Pattern Recognition', 'Natural Language Processing', 'Image Registration', 'Ubiquitous Computing', 'Information filtering', 'Pervasive Computing', 'Human Factors', 'Visual Analytics', 'Knowledge Management', 'Visual design', 'Object Recognition', 'Information Visualization', 'Human centered computing', 'Usability', 'Context awareness', 'Collaborative Filtering', 'User interaction', 'Interaction Techniques', 'Treemap', 'Recommender System', 'Computer Vision', 'Data Mining', 'Data Visualization', 'Image classification', 'Human Computer Interaction', 'Data Integration', 'User Experience', 'Ergonomics', 'Information Retrieval', 'Scientific Visualization', 'Pattern analysis', 'Object detection', 'User study', 'Remote Sensing', 'Treemaps', 'Information Extraction', 'Geovisualization', 'Image Recognition', 'Adaptive hypermedia', 'Data visualisation', 'Speech Processing', 'Image analysis', 'Natural languages', 'Image segmentation']"
3,3,None,"['Diseases', 'Epidemics', 'Tomography', 'Guidelines', 'Quantum Computing', 'Holography', 'Molecular Biophysics', 'Tumours', 'Synthetic Biology', 'Electrocardiography', 'Genetics', 'Pathology', 'Cancer', 'Neurophysiology', 'Stem Cells', 'Nanoscale device', 'Human Immunodeficiency Virus', 'Electromyography', 'Breast Cancer', 'Autism', 'Computed Tomography', 'Physiology', 'Nanotechnology', 'Medical Imaging', 'Pain', 'Psychophysics', 'Biomedical Imaging', 'Biochemistry', 'Sleep', 'Drugs', 'Diabetes', 'EEG', 'Neuroscience', 'Medical visualization', 'Heart Rate', 'Magnetic Resonance Imaging', 'Medical Simulation', 'Tumors', 'Heart rate variability', 'Electroencephalography', 'Aging', 'Virtual colonoscopy', 'Fault diagnosis', 'Medical Treatment', 'Medical image processing', 'Alzheimers Disease', 'Disease', 'Cloning']"
4,4,None,"['Matrix decomposition', 'Mathematical Analysis', 'Steady State', 'Approximation Theory', 'Iterative algorithm', 'Numerical Analysis', 'Curve Fitting', 'Numerical stability', 'Euclidean Distance', 'Hypercubes', 'Arithmetic', 'Differential Equations', 'Vector fields', 'Sufficient condition', 'Consistency', 'Morse Theory', 'Combinatorics', 'Upper Bound', 'Conformal mapping', 'Random Matrix Theory', 'Approximation error', 'Polynomials', 'Hamming Distance', 'Harmonic Analysis', 'Partial Differential Equations', 'Combinatorial mathematics', 'Interpolation', 'Approximation', 'Algebra', 'Least squares approximation', 'Boundary Conditions', 'Curvature', 'Iterative methods', 'Probability and statistics', 'Topology', 'Manifolds', 'Newton Method', 'Scientific Computing', 'Singular Value Decomposition', 'Calculus', 'Galois fields', 'Curve', 'Matrix Algebra', 'Discrete Mathematics', 'Closed form solution', 'Symmetric matrices', 'Geometry', 'Equations', 'Laplace equations']"
5,5,None,"['Information Theory', 'Statistical learning', 'Random Forest', 'Artificial Neural Networks', 'Similarity measure', 'Manifold learning', 'Semisupervised learning', 'Belief networks', 'Sparse representation', 'Bayesian Networks', 'Graphical Models', 'Markov models', 'Conditional random fields', 'Semantic similarity', 'Recurrent neural networks', 'Ensemble learning', 'Naive Bayes', 'Information content', 'Feature selection', 'Biclustering', 'Statistical computing', 'Spectral clustering', 'Machine Learning', 'Hidden Markov Model', 'Hidden Markov Models', 'Latent Semantic Indexing', 'Bayesian Network', 'Neural networks', 'Viterbi Algorithm', 'Neural Nets', 'Belief propagation', 'Mutual Information', 'Support Vector Machines', 'Pattern classification', 'Unsupervised learning', 'Reinforcement Learning', 'Differential privacy', 'Supervised learning', 'Deep Learning', 'Dimensionality Reduction', 'Support Vector Machine', 'Machine learning algorithms']"
6,6,None,"['qos', 'BGP', 'Network congestion', 'Mesh Network', 'Peer to peer', 'Mesh networks', 'MPLS', 'Admission control', 'Peer to peer network', 'Differentiated Services', 'Mobile ad hoc network', 'Service Discovery', 'Transport Control Protocol', 'Network routing', 'VANET', 'TCPIP', 'Virtual Private Networks', 'Routing', 'Local area networks', 'Synchronous Digital Hierarchy', 'Multiprotocol Label Switching', 'Wireless Mesh Networks', 'Wide area networks', 'Congestion Control', 'Asynchronous Transfer Mode', 'End to end delay', 'Call Admission Control', 'Network Protocols', 'Network Management', 'MANET', 'Dynamic Routing', 'Longest prefix matching', 'Active Queue Management', 'Sensor Networks', 'Mobility model', 'Optical Burst Switching', 'Multicasting', 'Network Architecture', 'SONET', 'Network Performance', 'Wireless Sensor Networks', 'Ethernet network', 'DiffServ', 'Packet Switching', 'Network design', 'Transport Layer', 'Internetworking', 'Delay tolerant network', 'Transmission Control Protocol', 'Multicast', 'Web Server', 'Network capacity', 'Overlay network', 'Circuit switching', 'Multipath Routing', 'Heterogeneous network', 'Unicast', 'Network servers', 'Packet loss', 'Mobile ad hoc networks', 'Geographic routing', 'Network latency', 'Reliable multicast', 'Network monitoring', 'Network traffic', 'Wireless Sensor Network', 'Wireless ad hoc networks', 'Routing protocol', 'Routing Protocols', 'Sensor network', 'Vehicular ad hoc networks', 'Ad hoc wireless network', 'Transport protocol', 'Quality of service', 'Network coding', 'Network Topology', 'Border Gateway Protocol', 'Ad hoc network', 'Online Services']"
7,7,None,"['Friction', 'Resonant Frequency', 'Vibrations', 'Surface topography', 'Feedback', 'Energy dissipation', 'Rough surface', 'Viscosity', 'Surface Roughness', 'Trajectory', 'Time synchronization', 'Feedback Control', 'Vibration', 'Synchronization', 'Torque', 'Feedback loop', 'Acceleration', 'Surface texture', 'Tensile stress', 'Damping', 'Synchronisation', 'Power dissipation', 'Oscillators', 'Force']"
8,8,None,"['Vehicles', 'Surface treatment', 'Consumer Electronics', 'Europe', 'Java', 'Flip flops', 'Buildings', 'Tools', 'Fires', 'Avatars', 'Concrete', 'Pins', 'Urban areas', 'Engines', 'Turning', '18V', 'Fabrics', 'Roads', 'Explosions', 'Mesh', 'Floods', 'Automata', 'Weapons', 'Bridges', 'Glass', 'Clocks', 'Containers', 'Home Appliances', 'Packaging', 'Wheels', 'Australia', 'Automotive', 'Storms', 'General', 'Prototypes', 'Delays']"
9,9,None,"['Methodology', 'Market Research', 'Business Process', 'Crowdsourcing', 'Planning', 'Costs', 'Measurement', 'Traffic Control', 'Analysis', 'Quality Management', 'Performance metrics', 'Investments', 'Energy management', 'Case study', 'Collaboration', 'Emerging technologies', 'Service Management', 'Scheduling', 'Calibration', 'Service level agreements', 'Experiment', 'Logistics', 'Technological innovation', 'Uncertainty', 'Efficiency', 'Information analysis', 'Methodologies', 'Internet traffic', 'Information Services', 'Location Based Services', 'Predictive Models', 'Experimentation', 'Information Systems', 'Performance evaluation', 'Electronic Commerce', 'Outsourcing', 'Ranking', 'Productivity', 'Automation', 'Data Analysis', 'Information Technology', 'Cost Accounting', 'Workflow management', 'Data collection', 'Research and development', 'Risk Management', 'Data Management', 'Knowledge Sharing', 'Web traffic', 'Resource Management', 'Dispatching', 'Service Level Agreement', 'Information Management', 'Measurements', 'Prediction', 'Benchmarking', 'Training', 'Accuracy', 'Competitive Intelligence', 'Data Processing', 'Theory', 'Evaluation', 'Pricing', 'Text analysis', 'Data aggregation', 'Inspection']"
10,10,None,"['Teaching', 'Education', 'Hospitals', 'Shape', 'Medical services', 'Communities', 'Dentistry', 'Business', 'Facial feature', 'TV', 'Art', 'Manufacturing', 'Design', 'Multimedia', 'Management', 'Music', 'Medicine', 'Government', 'Laboratories', 'Organizations', 'Surgery', 'Performance', 'Graphics', 'Advertising', 'Industries', 'Voting', 'Companies', 'Multimedia application', 'Motion Pictures', 'Transportation', 'Libraries', 'Face']"
11,11,None,"['Data Security', 'Security', 'Trusted Computing', 'Integrity', 'Confidentiality', 'Licenses', 'Computer Security', 'Authorization', 'Authorisation', 'Cybercrime', 'Side channel attack', 'Surveillance', 'Computer network security', 'Intrusion Detection', 'Malware', 'Denial of service', 'Hardware security', 'Intrusion Detection Systems', 'XACML', 'Anonymity', 'Computer worms', 'Authentication', 'Privacy', 'Security policy', 'Access controls', 'Provenance', 'Information Security', 'Intellectual Property', 'Computer Crime', 'Computer Viruses', 'Key management', 'Access Control', 'Contracts', 'Data privacy', 'Network Security', 'Safety', 'Reputation', 'Copyright protection']"
12,12,None,"['Electric breakdown', 'Nonvolatile memory', 'High Level Synthesis', 'Network on a chip', 'Soft error', 'VLSI', 'Memristors', 'Sustainable computing', 'Programmable logic devices', 'Automatic Test Equipment', 'Field Programmable Gate Array', 'CMOS', 'Magnetoelectronics', 'Microelectronics', 'Transistors', 'Semiconductor device modeling', 'Circuit simulation', 'Logic function', 'Network On Chip', 'MRAM', 'Programmable logic array', 'Shift registers', 'Embedded Computing', 'Power consumption', 'Low power electronics', 'System On Chip', 'Wafer Scale Integration', 'Nanoelectronics', 'SPICE', 'Integrated circuit packaging', 'FPGA', 'Electronic Design Automation', 'Thin film transistors', 'Integrated Circuit Layout', 'Field programmable gate array', 'Threshold Voltage', 'MOSFET', 'Logic gates', 'Logic design', 'Analog integrated circuit', 'Power efficiency', 'Green computing', 'Silicon on insulator', 'Power Management', 'Flash Memory', 'Application specific integrated circuit', 'Phase change memory', 'Integrated circuit design', 'Mass Storage', 'Asynchronous circuit', 'Leakage current', 'Large Scale Integration', 'DRAM', 'Hardware description languages', 'Chip Scale Packaging', 'Embedded processor', 'Voltage scaling', 'Electromigration', 'ASIC', 'Spintronics', 'Random Access Memory', 'Digital integrated circuit', 'System on a chip', 'Logic device', 'Data Storage', 'Reconfigurable Computing', 'Portable computers', 'Reconfigurable logic', 'Dynamic Voltage Scaling', 'Field effect transistors', 'Digital systems', 'Digital circuits', 'Network processor', 'Switching circuit', 'Integrated Circuits', 'Very Large Scale Integration', 'Logic circuits', 'Embedded System', 'Embedded Software', 'MOSFETs', 'Embedded Systems', 'Analog circuits', 'Driver circuit', 'Main memory']"
13,13,None,"['Monte Carlo Methods', 'Simulation', 'Mathematical model', 'Computational modeling', 'Nash Equilibrium', 'quantization', 'Computational model', 'octrees', 'flowgraphs', 'isosurfaces', 'Proposals', 'Level set', 'Channel estimation', 'Contour tree', 'remeshing', 'Small multiples', 'Computer Simulation', 'Random Number Generation', 'Decision Theory', 'Stochastic games', 'Monte Carlo', 'Probability', 'Image texture', 'Game Theory', 'Simulations', 'Stochastic modeling', 'Process variation', 'Numerical models', 'Monte Carlo Simulation', 'Traffic modeling', 'Performance modeling', 'Flow routing', 'Learning Automata', 'Transient analysis', 'Utility function', 'Numerical simulation', 'lattices', 'Nash Equilibria', 'graphs', 'Blocking probability', 'Repeaters', 'Design Space Exploration', 'Multidimensional Systems', 'graph', 'Sensitivity analysis', 'Fractals']"
14,14,None,"['Finite impulse response filter', 'Image reconstruction', 'Wavelet transforms', 'State estimation', 'Controllability', 'Convolution', 'System Identification', 'Hybrid systems', 'Signal analysis', 'Linear systems', 'Discrete cosine transform', 'Adaptive control', 'Frequency estimation', 'Noise reduction', 'Signal Processing', 'Fast Fourier Transforms', 'Control Theory', 'Observability', 'Kalman Filter', 'Sensor Fusion', 'Transfer Function', 'Transfer function', 'Kalman filter', 'Low pass filter', 'Discrete wavelet transform', 'Robust control', 'Asymptotic stability', 'Data fusion', 'Compressed Sensing', 'Digital Signal Processing', 'Wavelet analysis', 'Matched Filters', 'Transform coding', 'Optimal Control']"
15,15,None,"['Equivalent circuit', 'Automatic control', 'Actuators', 'Power supplies', 'Couplings', 'Network synthesis', 'Inductance', 'Electrodes', 'Phase locked loop', 'Fasteners', 'Inductors', 'Dc motors', 'Wire', 'Voltage controlled oscillators', 'Transmission lines', 'Voltage measurement', 'Speech analysis', 'Signal generators', 'Noise measurement', 'Pulse width modulation', 'Sensors', 'Optical sensor', 'Frequency synthesizer', 'Amplifiers', 'Distributed control', 'Accelerometers', 'Interconnects', 'Low Voltage', 'Temperature sensor', 'Variable speed drives', 'Sequential Circuits', 'Transducers', 'Switches', 'impedance', 'Control Systems', 'Inverters', 'Noise generator', 'Wiring', 'servomotors', 'Capacitance', 'Tactile sensor', 'Frequency response', 'Motion control', 'Temperature measurement', 'Delay effect', 'Electric Potential', 'Buffer circuit', 'Rlc circuit', 'Acoustics', 'Optical receiver', 'Lighting', 'Detectors', 'Impedance matching', 'Current density', 'Voltage', 'Noise', 'Relays', 'Microphones', 'Proportional Control', 'Capacitors']"
