,id,topic,keywords
16,16,None,"['Decision Support', 'Stochastic optimization', 'Complexity', 'Mobile agents', 'Intelligent agents', 'Evolutionary algorithms', 'Complex Systems', 'Gene regulatory network', 'Knowledge Engineering', 'Intelligent Agent', 'Knowledge based system', 'Tabu search', 'Particle Swarm Optimization', 'Gene regulatory networks', 'Global optimization', 'Software agents', 'Simulated Annealing', 'Adaptive Systems', 'Computational Intelligence', 'Swarm Intelligence', 'Multi agent system', 'Autonomous agent', 'Fuzzy Logic', 'Evolutionary Algorithm', 'Multiagent systems', 'Fuzzy systems', 'Knowledge discovery', 'Probabilistic Logic', 'Genetic Programming', 'Evolutionary Computation', 'Genetic Algorithm', 'Genetic Algorithms', 'Evolutionary computing', 'Neuroevolution', 'Design methodology', 'Decision Support Systems', 'Ant colony optimization', 'Knowledge Representation']"
17,17,None,"['Interaction', 'Cooling', 'Hydrogen', 'Energy', 'Clouds', 'Solids', 'Ash', 'Light sources', 'Materials', 'Carbon Dioxide', 'Hazards', 'Vegetation', 'Cloud', 'Solid', 'Temperature', 'Chemicals', 'Artificial', 'Phase change material', 'Earth', 'Time measurement', 'Sun', 'Heating']"
18,18,None,"['Transmitters', 'Distributed bragg reflector', 'Spread spectrum communication', 'Broadcasting', 'Channel allocation', 'Fading', 'Carrier Sense Multiple Access', 'Detection', 'Fading channel', 'MIMO', 'csma', 'Downlink', 'Noise level', 'Wavelength Division Multiplexing', 'Radio networks', 'Frequency Modulation', 'Optical network', 'Jitter', 'Wideband', 'CSMA CA', 'OFDM', 'Integrated optics', 'Cognitive radio', 'Power control', 'Mobile Radio', 'Transceivers', 'Time division multiplexing', 'Intersymbol interference', 'Optical fiber communication', 'Directional antenna', 'Radio Frequency', 'OFDMA', 'Optical Network', 'Surface waves', 'Medium Access Control', 'Spatial Correlation', 'Propagation delay', 'Crosstalk', 'Optical Switches', 'Frequency Shift Keying', 'Bit error rate', 'tdma', 'Modulation', 'Attenuation', 'Diversity reception', 'Distortion', 'Satellite communication', 'Automatic Repeat Request', 'Satellite network', 'Frequency', 'Electromagnetic Interference', 'Physical Layer', 'Wireless channels', 'Time Division Multiple Access', 'Broadcast', 'Radiofrequency interference', 'Adaptive modulation']"
19,19,None,"['Telecommunication network', 'Intelligent network', 'Wireless Networking', 'Wireless', 'Wireless Communication', 'Wireless Network', 'Communication Systems', 'Bluetooth', 'Wireless Application Protocol', 'CDMA', 'Cellular Network', 'Cellular networks', 'Wi Fi', 'Radio access network', 'GSM', 'VoIP', 'Wireless communications', 'Next Generation Networking', 'Telecommunication service', 'Mobile network', 'WLAN', 'Wireless Local Area Network', 'Telephony', 'Mobility management', 'Internet Telephony', 'Handoff', 'Wireless LAN', 'Code Division Multiple Access', '802 11', 'Wireless Local Area Networks', 'Base stations', 'Wireless Networks', 'Session Initiation Protocol', 'Communication networks', 'WiMAX', 'Telecommunications', 'Mobile communication', 'Wireless personal area network', 'Interconnect']"
20,20,None,"['Smartphone', 'Credit Cards', 'Collision Avoidance', 'Biometrics', 'Mobile Computing', 'Cellular Radio', 'Radiofrequency identification', 'Global Positioning System', 'Mobile handsets', 'Telemetry', 'Smart cards', 'Cellular phones', 'Fingerprint recognition', 'Personal Digital Assistants', 'Mobile devices', 'Mobile Device', 'GPS', 'RFID', 'Smart Phones', 'Rfid tag', 'Handheld computers', 'Forensics', 'Face recognition']"
21,21,None,"['Meteorology', 'Geology', 'Informatics', 'Mathematics', 'Engineering Management', 'Economics', 'Humanities', 'Engineering education', 'Physics', 'Psychology', 'Geography', 'Engineering', 'Law', 'Computer Science', 'Astronomy', 'Electrical Engineering', 'Architecture', 'Social and behavioral sciences', 'Design engineering', 'Maintenance engineering', 'Information Science', 'History', 'Chemistry', 'Biology', 'Behavioral Science', 'Navigation', 'Sociology', 'Architectures']"
22,22,None,"['Cluster Analysis', 'Hierarchical Clustering', 'Bayesian Inference', 'Analysis of variance', 'Multidimensional Scaling', 'Exploratory Data Analysis', 'Design study', 'Time Series Analysis', 'Clustering algorithm', 'Estimation Theory', 'Gaussian Distribution', 'Principal Component Analysis', 'Time Series', 'Data Clustering', 'Logistic Regression', 'Statistical Analysis', 'Sampling methods', 'Multivariate data', 'Poisson Distribution', 'Regression Analysis', 'Random Sampling', 'Statistical methods', 'Linear Regression', 'Multivariate statistics', 'Experimental Design', 'Power estimation', 'Signal detection', 'Correlation', 'Sequential analysis', 'Estimation', 'Nonparametric statistics', 'Histograms', 'Linear Discriminant Analysis', 'Statistics', 'Parameter estimation', 'Maximum Likelihood Estimation', 'Bayesian methods']"
23,23,None,"['visualization', 'shadowing', 'mashups', 'standards', 'metrics', 'segmentation', 'Training data', 'delay', 'stacking', 'strips', 'media', 'texture', 'realtime', 'junctions', 'manuals', 'jamming', 'boosting', 'pipelines', 'convergence', 'receiver', 'merging', 'tracking', 'bonding', 'wires', 'coverage', 'modelling', 'Volume visualization', 'decoding', 'context', 'monitoring', 'inhibitors', 'imaging', 'localization', 'congestion', 'mobile', 'modeling', 'stress', 'aggregation', 'crawlers', 'biodiffusion', 'programming', 'partitioning', 'electrovibration', 'applications', 'fileservers', 'elasticity', 'networks', 'assembly', 'appraisal', 'resistance', 'surface', 'si', 'interference', 'servers', 'tuning', 'mood', 'shielding', 'affect', 'watermarking', 'coherence', 'pedigree', 'degradation', 'bifurcation', 'survey', 'latches', 'receivers', 'coordination', 'control', 'schedules', 'springs', 'regression', 'production', 'accelerators', 'reliability', 'emulation', 'strain', 'loading', 'multimodal', 'needles', 'reconstruction', 'fairness', 'simplification', 'dynamics', 'rendering', 'phantoms', 'indexes', 'power', 'tunneling', 'sparks', 'sampling', 'rnaseq', 'extremities', 'deployment', 'videos', 'connectivity', 'replication', 'compounds', 'hardware', 'polymorphism', 'chaos', 'augmented', 'verification', 'batteries', 'benchmarks', 'arrays', 'testing', 'resilience', 'mobility', 'registers', 'mcts', 'taxonomy', 'minimisation', 'filtering', 'occlusion', 'soc', 'roughness', 'trust', 'clustering', 'generators', 'observers', 'valence', 'web', 'layout', 'reflection', 'capacity', 'transforms', 'filters', 'fabrication', 'probes', 'parallelism', 'Miscellaneous', 'instruments', 'fluctuations', 'redundancy', 'metric', 'opensystems', 'Protein Interaction Networks', 'compaction', 'sensitivity', 'integration', 'circuits', 'placement', 'network', 'substrates', 'compliance', 'protection', 'spine', 'rehabilitation', 'constraints', 'aggregates', 'Reconstruction algorithm', 'compression', 'portals', 'transparency', 'maintenance', 'filling', 'rails', 'svm', 'mac', 'regulators', 'alignment', 'tagging', 'reconciliation', 'additives', 'timing', 'surfaces', 'lifetime', 'synthesis', 'validation', 'stability', 'indexing', 'itemsets', 'minimization', 'recombination', 'adders']"
24,24,None,"['Bismuth', 'Manganese', 'Nickel', 'Calcium', 'Iron', 'Yttrium', 'Erbium', 'Silicon', 'Tin', 'Gold']"
25,25,None,"['Immune System', 'Joints', 'Muscles', 'Lungs', 'Animals', 'Organisms', 'Bones', 'Skin', 'Microorganisms', 'Head', 'Biological cells', 'Biological systems', 'Liver', 'Fingers', 'Brain', 'Birds', 'Owl', 'Trees', 'Wrist', 'Skeleton', 'Biological tissues', 'Humans', 'Blood', 'Thumb', 'Heart', 'Mice', 'Biological processes']"
26,26,None,"['Solid modelling', 'Facial animation', 'Computer Animation', 'Ray Tracing', 'Coordinate measuring machine', 'Boundary representation', 'Biomechanics', 'Global illumination', 'Finite Element Analysis', 'Path planning', 'Texture synthesis', 'Texture mapping', 'Fluid Dynamics', 'Graphics hardware', 'Kinematics', 'Collision Detection', 'Cadcam', 'Ray casting', 'Surface fitting', 'Volume rendering', 'Robot kinematics', 'Computer Aided Manufacturing', 'Antialiasing', 'Finite element methods', 'Raytracing', 'Shading', 'Vehicle dynamics', 'Animation', 'Parallel coordinates', 'Computer Aided Design', 'Level of detail', 'Computational Fluid Dynamics', 'Mesh generation', 'Solid modeling', 'Computer Graphics', 'Geometric modeling']"
27,27,None,"['Interactive Systems', 'File systems', 'Virtual Machine', 'Software As A Service', 'Ms pac man', 'Resource Description Framework', 'Databases', 'Software tools', 'Virtual machine monitor', 'Learning Management Systems', 'Computer errors', 'Service Oriented Architecture', 'Authoring tool', 'Linux', 'Software', 'User Interface', 'Mobile Applications', 'Task allocation', 'Metadata', 'Distributed databases', 'Public domain software', 'Operating Systems', 'Database', 'Web Services', 'Graphical User Interfaces', 'Learning Objects', 'Map Reduce', 'runtime', 'Data integrity', 'Data models', 'Virtualization', 'Computer Applications', 'Computer Aided Software Engineering', 'Buffer Overflow', 'Web Service', 'Cloud Computing', 'kernel', 'XML', 'Computers', 'Object Oriented Programming', 'Middleware', 'Transaction processing', 'Unified Modeling Language', 'Relational Databases', 'browsers', 'Database management systems', 'HTML', 'Query Processing', 'Software libraries', 'Hadoop', 'IaaS', 'Web pages', 'Personalization', 'Memory management', 'Content Management', 'User interfaces', 'Open Source Software', 'Content addressable storage', 'Groupware', 'Debugging', 'Application software', 'Cloud Storage']"
28,28,None,"['Coprocessors', 'Gpu computing', 'Computer Architecture', 'Graphics Processing Unit', 'Cache Memory', 'Chip multiprocessor', 'Instruction Sets', 'Microarchitecture', 'Central Processing Unit', 'CUDA', 'Pipelining', 'Floating point arithmetic', 'Reduced Instruction Set Computing', 'GPGPU', 'VLIW', 'Multicore', 'Graphics processors', 'Microprocessors', 'Fixed point arithmetic', 'Multicore processor', 'GPU', 'Graphics processing units', 'GPUs']"
29,29,None,"['Collaborative learning', 'Videoconference', 'Negotiation', 'E learning', 'Learning environment', 'Cooperation', 'Competitions', 'Electronic learning', 'Computer Based Training', 'Conferences', 'Meetings', 'Councils', 'Consensus', 'Technology Enhanced Learning', 'Computer assisted instruction', 'Mobile learning', 'Educational institutions', 'Education course', 'Distance Learning', 'Accreditation', 'Online Learning', 'Interviews', 'Computer Managed Instruction', 'Tutorials', 'Computer aided instruction', 'Educational Technology', 'Remote laboratories', 'Learning Technologies']"
30,30,None,"['Vectors', 'Prosthetics', 'Wearable computers', 'Augmented Reality', 'Eye Tracking', 'Robots', 'Facial expressions', 'haptic', 'Brain computer interface', 'Telerobotics', 'Virtual Reality', 'Survivability', 'Artificial Intelligence', 'Human robot interaction', 'Force feedback', 'Grasping', 'Robotics', 'Space Exploration', 'Modularity', 'Haptic feedback', 'Androids', 'Virtual environments', 'Humanoid robots', 'Assistive Technology', 'Space Technology', 'Motion Capture', 'tactile', 'Mobile Robots', 'Teleoperation', 'AI', 'Virtual environment', 'Facial Expression', 'Haptic interface', 'haptics', 'Payloads', 'Trojan Horses', 'Telemanipulation', 'Wearable Computing']"
31,31,None,"['Compression algorithms', 'Forward Error Correction', 'Data Communications', 'Bit Rate', 'Throughput', 'Turbo codes', 'Error Detection', 'Video coding', 'Error Correction', 'Error correction codes', 'Channel Capacity', 'Data Compression', 'Parity check code', 'Channel Coding', 'Data communication', 'Channel utilization', 'Communication channel', 'Error checking', 'Reed solomon codes', 'Data Transfer', 'Transcoding', 'Convolutional codes', 'Error correcting codes', 'Video Compression', 'Hardware Acceleration', 'Source Coding', 'Digital Communication', 'Multiplexing']"
32,32,None,"['Affective Computing', 'Visual Perception', 'Emotion Recognition', 'Learning', 'Personality', 'Arousal', 'Biological Neural Networks', 'Attention', 'Haptic perception', 'Manipulators', 'Memory', 'Decision Making', 'Tactile feedback', 'Interaction Styles', 'Touch', 'Problem Solving', 'Emotion', 'Emotions', 'Focusing', 'Emotion detection', 'Cognition', 'Perception', 'Neurons', 'Information Processing']"
33,33,None,"['Set Theory', 'Encyclopedias', 'Bibliometrics', 'Pragmatics', 'Cultural differences', 'Semantics', 'Bibliographies', 'Encoding', 'Dictionaries', 'Abstracts', 'Ontology', 'Syntactics', 'Standardization', 'Ethics', 'Grammar', 'Classification', 'Master slave', 'Terminology', 'Labeling', 'Ontologies', 'Logic', 'Speech', 'Memory system', 'Vocabulary', 'Writing', 'Languages']"
34,34,None,"['Gene regulation', 'Essential protein', 'Transcription factor', 'Amino Acids', 'Gene Expression', 'Secondary structure', 'Protein complexes', 'Genetic mutations', 'Protein protein interaction', 'Protein complex', 'Protein Structure', 'Gene translation', 'Proteins', 'DNA', 'Gene duplication', 'Protein sequence', 'RNA', 'Micro RNA', 'Peptides']"
35,35,None,"['Integer linear program', 'Convex programming', 'Convex optimization', 'Optimization', 'Integer Programming', 'Constraint optimization', 'Semidefinite programming', 'Linear Programming', 'Mixed integer linear programming', 'Optimisation', 'Integer linear programming', 'Multiobjective optimization', 'Nonlinear programming', 'Constrained optimization', 'Optimization problem', 'Quadratic programming', 'Mixed integer programming']"
36,36,None,"['Data sharing', 'Computer Society', 'High Performance Computing', 'routers', 'Reverse Engineering', 'Data centers', 'cache', 'multithreading', 'smartgrids', 'Grid Computing', 'Social Networks', 'Network dynamics', 'Mathematical Programming', 'Mobile cloud', 'Datacenter', 'Network tomography', 'Data Center', 'IEEE Transactions', 'protocols', 'Interoperability', 'sram', 'multihop', 'NIST', 'Services computing', 'multiprocessors', 'Computer science education', 'Smart Home', 'Internet of things', 'Scalability', 'iot', 'IEEE', 'Implementation', 'Service composition', 'bandwidth', 'Internet Topology', 'Computer Networks', 'protocol', 'Human Performance', 'router', 'tcp', 'Differentiated service', 'prefetching', 'caching', 'Mobile Cloud Computing']"
37,37,None,"['Signal to noise ratio', 'Spatial resolution', 'Dynamic range', 'Image sensors', 'Optical devices', 'Image resolution', 'Color', 'lenses', 'Liquid crystal displays', 'Cameras', 'Computer Displays', 'Mirrors', 'Distance measurement', 'Brightness', 'Apertures', 'Pixel', 'Displays']"
38,38,None,"['Computer Games', 'Game Based Learning', 'Game AI', 'Video Games', 'Board Games', 'Intelligent tutoring systems', 'Intelligent Systems', 'Video Game', 'Multiplayer Games', 'Procedural content generation', 'Games', 'Particle Systems', 'Games of skill', 'General Game Playing', 'Game', 'Game Design']"
39,39,None,"['Light scattering', 'Molecular configuration', 'Lab on a chip', 'Mass Spectroscopy', 'Isosurface', 'Biomarker discovery', 'Optical imaging', 'Distribution functions', 'Microscopy', 'Kinetic Theory', 'Energy minimization', 'Density Functional Theory', 'Entropy', 'biomembranes', 'Electrostatics', 'Magnetic domains', 'Magnetization', 'Flow visualization', 'Scattering', 'Radiation detector', 'Surface reconstruction', 'Mass Spectrometry', 'Flow visualisation', 'Diffusion Tensor Imaging', 'Magnetoelectric effect']"
40,40,None,"['Software Engineering', 'Hardware architecture', 'Fault detection', 'System design', 'System architecture', 'Virtual prototyping', 'Process Design', 'Software reliability', 'Software performance', 'Dependability', 'Fault tolerant systems', 'Failure Analysis', 'System testing', 'Capacity planning', 'Process Control', 'Robustness', 'Software Systems', 'Signal integrity', 'Software Design', 'Condition Monitoring', 'Automatic Test Pattern Generation', 'Fault coverage', 'Availability', 'Reliability Engineering', 'Fault Tolerance', 'Byzantine Fault Tolerance', 'Software Architecture', 'Design Automation', 'Software Testing', 'Fault injection', 'Static timing analysis', 'Manufacturing processes']"
41,41,None,"['Data encryption', 'Elliptic Curve Cryptography', 'Secret sharing', 'Ciphers', 'Cryptography', 'Cryptographic protocols', 'Security protocol', 'Public key', 'Homomorphic Encryption', 'Traffic analysis', 'Cryptanalysis', 'Encryption', 'Public Key Cryptography', 'Digital signatures', 'Identity based encryption', 'Attribute based encryption']"
42,42,None,"['Online social networks', 'Electronic Publishing', 'Blogs', 'Social Network', 'Video sharing', 'Video streaming', 'Web Sites', 'Facebook', 'Video On Demand', 'World Wide Web', 'Social Networking', 'Social Network Services', 'Google', 'Internet', 'Streaming Media', 'Subscriptions', 'Search Engines', 'Twitter', 'Web search', 'Electronic Mail']"
43,43,None,"['Smart meters', 'Power demand', 'Energy Harvesting', 'Energy saving', 'Smart Grid', 'Load management', 'Energy Storage', 'Energy Conservation', 'Renewable energy sources', 'Power grids', 'Power saving', 'Electricity', 'Energy consumption', 'Power Generation', 'Distributed network', 'Power distribution']"
44,44,None,"['Gaussian Processes', 'Convex functions', 'Covariance matrix', 'Random processes', 'Markov Processes', 'Statistical distributions', 'Markov Chain', 'Brownian Motion', 'Stochastic Processes', 'Markov Chains', 'Exponential distribution', 'Stochastic systems', 'Random walk', 'Probability Density Function', 'Probability Distribution', 'Random walks', 'Covariance matrices', 'Random variables']"
